"","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize"
"1",1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
"7",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
"8",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
"11",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
"12",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
"17",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
"18",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
"27",0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0
"33",1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
"53",0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0
"57",0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1
"64",1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
"70",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
"89",0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
"91",0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
"93",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
"94",1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
"97",1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
"98",1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
